productId,imageURL,productURL,productTitle,price,discount percentage,original price,brand,material,style,warranty,colors
"1","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__7cc8180c0e2745b4a8ad97ce9811eb6f_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5432","Rayban Eyewear - Glasses - 0RX5432","3,648,000","20","4,560,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Đồi Mồi"
"2","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__205e9cd9ea0a4060a70e9dea20770b2d_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5431f","Rayban Eyewear - Glasses - 0RX5431F","3,648,000","20","4,560,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Đồi Mồi"
"3","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_oval__5__9df214a213134704af648586f1c70c23_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx3749v","Rayban Eyewear - Glasses - 0RX3749V","3,648,000","20","4,560,000","Rayban - Mỹ","Thép không gỉ","Oval","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Hồng-Bạc-Đen Vàng"
"4","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__4a95f40747054b46a35b328935f63c60_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx3746v","Rayban Eyewear - Glasses - 0RX3746V","3,648,000","20","4,560,000","Rayban - Mỹ","Thép không gỉ","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen"
"5","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__06a494e18af344b2a9e55b3078da71d8_large.jpg","https://matkinhshady.com/products/armani-exchange-eyewear-glasses-0ax3016","Armani Exchange Eyewear - Glasses - 0AX3016","2,288,000","20","2,860,000","Armani Exchange - ITALIA","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng.","Đen Nhám-Xám"
"6","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__4__0302434cdb384c938652cd86681fe295_large.jpg","https://matkinhshady.com/products/coach-eyewear-glasses-0hc6206u","Coach Eyewear - Glasses - 0HC6206U","3,728,000","20","4,660,000","Coach - Mỹ","Nhựa Acetate","Mắt mèo","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng.","Đen"
"7","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__5__5e4c7533424146be83e1ea88fc696d16_large.jpg","https://matkinhshady.com/products/vogue-eyewear-glasses-0vo5517b","Vogue Eyewear - Glasses - 0VO5517B","3,136,000","20","3,920,000","Vogue - Ý","Nhựa Acetate","Mắt mèo","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Xanh Dương"
"8","https://product.hstatic.net/1000096196/product/ong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong_mat_meo__5__1823b8e53685469096b4cda7bbe36ebc_large.jpg","https://matkinhshady.com/products/vogue-eyewear-glasses-0vo5502d","Vogue Eyewear - Glasses - 0VO5502D","2,296,000","20","2,870,000","Vogue - Ý","Nhựa Acetate","Mắt mèo","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Đỏ"
"9","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__4__0b59455dbe49418194e8be1879d0aa17_large.jpg","https://matkinhshady.com/products/vogue-eyewear-glasses-0vo5276","Vogue Eyewear - Glasses - 0VO5276","2,904,000","20","3,630,000","Vogue - Italia","Nhựa acetate | Hợp kim","Mắt mèo","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Hồng"
"10","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__5__2adcfe4d0a644e7baaf4005c168456a0_large.jpg","https://matkinhshady.com/products/vogue-eyewear-glasses-0vo4273","Vogue Eyewear - Glasses - 0VO4273","2,400,000","20","3,000,000","Vogue - Ý","Thép cao cấp","Mắt mèo","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen Bạc-Hồng"
"11","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__598612cdd3c14d94973fc1856f684908_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx7159f","Rayban Eyewear - Glasses - 0RX7159F","3,792,000","20","4,740,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đồi Mồi-Đen"
"12","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__93148795e9cb4d9d8ec8457e20b5ec87_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5318d","Rayban Eyewear - Glasses - 0RX5318D","2,128,000","20","2,660,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Đồi Mồi"
"13","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__5ec095e314b144f693458d4bc0b9a5a3_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5315d","Rayban Eyewear - Glasses - 0RX5315D","2,128,000","30","3,060,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đồi Mồi-Đen-Xám-Đen Nhám"
"14","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__865e5d3810de4ea98f84779e6603c559_large.jpg","https://matkinhshady.com/products/coach-eyewear-glasses-0hc6233u","Coach Eyewear - Glasses - 0HC6233U","4,056,000","20","5,070,000","Coach - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng.","Đồi mồi"
"15","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__0434f0350b374d97b10d249ba0b47fe5_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj3022","Molsion Eyewear - Glasses - MJ3022","1,344,000","20","1,680,000","Molsion - Pháp","Nhựa Acetate","Vuông","12 tháng","Xám"
"16","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__720be9dc29aa4ae4a5bf890e3e28980e_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bt1610","Bolon Eyewear - Glasses - BT1610","3,424,000","20","4,280,000","Bolon - Pháp","Titanium","Tròn","12 tháng","Đen Bạc-Hồng-Bạc"
"17","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__4d14f07b46be4f058f5e3c52084d0a8e_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac34610","ANCCI Eyewear - Glasses - AC34610","680,000","","","ANCCI - Tây Ban Nha","Nhựa dẻo TR | Hợp kim","Vuông","12 Tháng","Đen-Nâu"
"18","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_luc_giac__4__6d1b178034f842d59814e0e19d8c100b_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac34609","ANCCI Eyewear - Glasses - AC34609","680,000","","","Ancci - Tây Ban Nha","Hợp kim | Nhựa","Lục giác","12 tháng","Đen"
"19","https://product.hstatic.net/1000096196/product/ng_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong_nua_vien__5__5c2066f103db4622ace6c3b51b2279c9_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac34404","ANCCI Eyewear - Glasses - AC34404","880,000","","","Ancci - Tây Ban Nha","Nhựa Acetate | Hợp kim","Vuông","12 tháng","Đen-Xám"
"20","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_luc_giac__5__09c50e3861d94439b410b2010e4b6046_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac34402","ANCCI Eyewear - Glasses - AC34402","880,000","","","Ancci - Tây Ban Nha","Nhựa Acetate","Lục giác","12 tháng","Xám-Đen"
"21","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_phi_cong__4__d5e378e5c6de4383b1356bb6dd03839e_large.jpg","https://matkinhshady.com/products/armani-exchange-eyewear-glasses-0ax1055","Armani Exchange Eyewear - Glasses - 0AX1055","2,288,000","20","2,860,000","Armani Exchange - ITALIA","Thép cao cấp","Phi công","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng.","Đen"
"22","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__7b386f93cdf644678c12cc62855f49b6_large.jpg","https://matkinhshady.com/products/gong-kinh-g2742","Gọng Kính G2742","490,000","","","OEM","Nhựa Ultem","Vuông","6 tháng","Đen-Trắng-Nâu"
"23","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_luc_giac__4__87189aa877b64f77b9ab11a2b750f442_large.jpg","https://matkinhshady.com/products/prada-eyewear-glasses-0pr-59zv","Prada Eyewear - Glasses - 0PR 59ZV","8,424,000","20","10,530,000","Prada - Ý","Thép cao cấp","Lục giác","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Hồng"
"24","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__67f4738522254d66a17e3d443f698243_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx7241d","Rayban Eyewear - Glasses - 0RX7241D","2,192,000","20","2,740,000","RayBan - Mỹ","Nhựa Acetate","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen"
"25","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_oval__4__d9c56652c97444ba9d827b272b96ee05_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5429","Rayban Eyewear - Glasses - 0RX5429","3,568,000","20","4,460,000","RayBan - Mỹ","Nhựa Acetate","Oval","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đồi Mồi-Đen"
"26","https://product.hstatic.net/1000096196/product/ng_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong_nua_vien__4__997b24433e4049c987d94ff3b5c6161d_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5154","Rayban Eyewear - Glasses - 0RX5154","3,888,000","20","4,860,000","RayBan - Mỹ","Thép cao cấp | Nhựa","Vuông","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen Bạc-Đen Nhám"
"27","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_phi_cong__5__6ed6c3fb3b5f402a8dab649a715b00c2_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx3733v","Rayban Eyewear - Glasses - 0RX3733V","3,208,000","20","4,010,000","Rayban - Mỹ","Thép cao cấp","Phi công","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen-Hồng"
"28","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__009686f4c7ca49edb0d9dcc9efd3ff2d_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-ba7039","Bolon Eyewear - Glasses - BA7039","3,024,000","20","3,780,000","Bolon - Pháp","Titanium","Vuông","12 tháng","Hồng"
"29","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__26c36602bd2a49b68bff54c583960de8_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac42511","ANCCI Eyewear - Glasses - AC42511","780,000","","","Ancci - Tây Ban Nha","Nhựa Ultem","Tròn","12 tháng","Đỏ-Xanh Lá"
"30","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__213bd65499a24793892e5ec4c7f4c1b7_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac42510","ANCCI Eyewear - Glasses - AC42510","780,000","","","Ancci - Tây Ban Nha","Nhựa Ultem","Tròn","12 tháng","Đen-Xanh Dương"
"31","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__b45b2653698842ed99e91e6a52fc52bc_large.jpg","https://matkinhshady.com/products/ancci-eyewear-glasses-ac42506","ANCCI Eyewear - Glasses - AC42506","780,000","","","Ancci - Tây Ban Nha","Nhựa Ultem","Vuông","12 tháng","Đen-Xanh Dương"
"32","https://product.hstatic.net/1000096196/product/ong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron_nua_vien__4__7ca0800b32e84d639d49f944210a6021_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx8422","Rayban Eyewear - Glasses - 0RX8422","5,008,000","20","6,260,000","Rayban - Mỹ","Thép không gỉ","Tròn","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Xanh Dương-Đen"
"33","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_wayfarer__4__136e6e8cf6104e8e89baa8a1dad2a33f_large.jpg","https://matkinhshady.com/products/rayban-eyewear-glasses-0rx5121f","Rayban Eyewear - Glasses - 0RX5121F","3,792,000","20","4,740,000","Rayban - Mỹ","Nhựa Acetate","Wayfarer","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng","Đen"
"34","https://product.hstatic.net/1000096196/product/ex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_luc_giac__4__1816d35b4f7543fa8d9f3c73efa85a2a_large.jpg","https://matkinhshady.com/products/coach-eyewear-glasses-0hc6204d","Coach Eyewear - Glasses - 0HC6204D","3,088,000","20","3,860,000","Coach - Mỹ","Nhựa Acetate","Lục giác","12 tháng + Shady tặng Gói bảo hành chính hãng thêm 6 tháng. Tổng thời gian bảo hành lên đến 18 tháng.","Xám"
"35","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__32f1207c13264a79853935ac40fb1345_large.jpg","https://matkinhshady.com/products/new-balance-eyewear-glasses-nb09390x","New Balance Eyewear - Glasses - NB09390X","1,760,000","20","2,200,000","New Balance - Mỹ","Nhựa Acetate | Hợp kim","Vuông","12 tháng","Đen-Xanh Dương"
"36","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__fec7f8dba3644abda650475cf7c3b564_large.jpg","https://matkinhshady.com/products/new-balance-eyewear-glasses-nb09388","New Balance Eyewear - Glasses - NB09388","1,760,000","20","2,200,000","New Balance - Mỹ","Nhựa Acetate | Hợp kim","Vuông","12 tháng","Xám-Nâu"
"37","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__40ed8fbfb3e7488a8664993987051776_large.jpg","https://matkinhshady.com/products/new-balance-eyewear-glasses-nb09387x","New Balance Eyewear - Glasses - NB09387X","1,760,000","20","2,200,000","New Balance - Mỹ","Nhựa Acetate | Hợp kim","Tròn","12 tháng","Đen-Xám"
"38","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__82a12e9c75b140aa9f3b317193a219a0_large.jpg","https://matkinhshady.com/products/new-balance-eyewear-glasses-nb09318","New Balance Eyewear - Glasses - NB09318","1,760,000","20","2,200,000","New Balance - Mỹ","Nhựa Acetate | Hợp kim","Vuông","12 tháng","Đen-Xanh Dương"
"39","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__f1cafd0b7c384b189e03cb62dce2718f_large.jpg","https://matkinhshady.com/products/balance-eyewear-glasses-nb07057","New Balance Eyewear - Glasses - NB07057","2,320,000","20","2,900,000","New Balance - Mỹ","Titanium","Vuông","12 tháng","Đen-Xám"
"40","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__1c25eb0d720e4ade9ce628ded3712646_large.jpg","https://matkinhshady.com/products/balance-eyewear-glasses-nb05306x","New Balance Eyewear - Glasses - NB05306X","1,840,000","20","2,300,000","New Balance - Mỹ","Thép cao cấp","Vuông","12 tháng","Hồng"
"41","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__ecb4a218820a419da6e68ef1afe85264_large.jpg","https://matkinhshady.com/products/balance-eyewear-glasses-nb05305x","New Balance Eyewear - Glasses - NB05305X","1,840,000","20","2,300,000","New Balance - Mỹ","Thép cao cấp","Vuông","12 tháng","Đen-Xanh Dương"
"42","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__f89d5949f2d948c5a8bf649e281d73b6_large.jpg","https://matkinhshady.com/products/balance-eyewear-glasses-nb05302x","New Balance Eyewear - Glasses - NB05302X","1,840,000","20","2,300,000","New Balance - Mỹ","Thép cao cấp","Vuông","12 tháng","Đen"
"43","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__a720dbe6f54f462e89a4992b6bf8c714_large.jpg","https://matkinhshady.com/products/balance-eyewear-glasses-nb05299x","New Balance Eyewear - Glasses - NB05299X","1,840,000","20","2,300,000","New Balance - Mỹ","Thép cao cấp","Tròn","12 tháng","Tím-Bạc-Đen"
"44","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__8ef46be62aac48e38f5132c703c8e23e_large.jpg","https://matkinhshady.com/products/montblanc-eyewear-glasses-mb0322o","Montblanc Eyewear - Glasses - MB0322O","9,568,000","20","11,960,000","Montblanc - Đức","Nhựa Acetate","Vuông","12 tháng","Đen"
"45","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__8a46343081af4b25985ff39ebdfe5fa5_large.jpg","https://matkinhshady.com/products/montblanc-eyewear-glasses-mb0305o","Montblanc Eyewear - Glasses - MB0305O","9,568,000","20","11,960,000","Montblanc - Đức","Nhựa Acetate","Vuông","12 tháng","Đồi Mồi-Đen-Xám Đậm"
"46","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__ad0be80b40ee4d57ac707088f9b2f21a_large.jpg","https://matkinhshady.com/products/montblanc-eyewear-glasses-mb0272o","Montblanc Eyewear - Glasses - MB0272O","10,240,000","20","12,800,000","Montblanc - Đức","Thép cao cấp","Vuông","12 tháng","Bạc-Vàng"
"47","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__e2762c7505fd41e5934138f80bbd1944_large.jpg","https://matkinhshady.com/products/montblanc-eyewear-glasses-mb0256o","Montblanc Eyewear - Glasses - MB0256O","9,440,000","20","11,800,000","Montblanc - Đức","Nhựa Acetate","Vuông","12 tháng","Đen"
